fecha,precio
2013.5535388127853,91.6
2013.5562785388129,95.6
2013.5590182648402,95.1
2013.5617579908676,96.9
2013.564497716895,96.0
2013.5672374429223,94.4
2013.5699771689497,98.8
2013.5727168949772,101.5
2013.5754566210046,108.0
2013.578196347032,106.2
2013.5809360730593,104.0
2013.5836757990867,104.5
2013.5864155251143,104.9
2013.5891552511416,105.1
2013.591894977169,106.7
2013.5946347031963,106.6
2013.5973744292237,106.0
2013.600114155251,103.1
2013.6028538812786,102.8
2013.605593607306,103.0
2013.6083333333333,105.0
2013.6110730593607,106.8
2013.613812785388,109.6
2013.6165525114154,112.6
2013.619292237443,110.0
2013.6220319634704,109.0
2013.6247716894977,112.8
2013.627511415525,113.4
2013.6302511415524,118.5
2013.63299086758,121.2
2013.6357305936074,123.3
2013.6384703196347,122.0
2013.641210045662,118.5
2013.6439497716894,119.6
2013.6466894977168,122.1
2013.6494292237444,120.1
2013.6521689497717,131.3
2013.654908675799,128.8
2013.6576484018265,129.3
2013.6603881278538,138.0
2013.6631278538812,141.0
2013.6658675799088,146.0
2013.6686073059361,144.0
2013.6713470319635,144.0
2013.6740867579908,132.5
2013.6768264840182,130.2
2013.6795662100456,121.9
2013.6823059360731,129.0
2013.6850456621005,126.3
2013.6876712328767,133.1
2013.690410958904,132.6
2013.6931506849314,142.1
2013.695890410959,139.4
2013.6986301369864,140.7
2013.7013698630137,136.7
2013.704109589041,138.3
2013.7068493150684,139.4
2013.7095890410958,139.1
2013.7123287671234,140.4
2013.7150684931507,135.1
2013.717808219178,133.8
2013.7205479452055,134.4
2013.7232876712328,134.0
2013.7260273972602,133.4
2013.7287671232878,134.8
2013.731506849315,135.0
2013.7342465753425,137.1
2013.7369863013698,138.9
2013.7397260273972,142.5
2013.7424657534248,143.9
2013.7452054794521,141.9
2013.7479452054795,140.3
2013.7506849315068,123.0
2013.7534246575342,131.0
2013.7561643835616,136.8
2013.7589041095891,136.7
2013.7616438356165,137.8
2013.7643835616439,135.8
2013.7671232876712,136.5
2013.7698630136986,139.5
2013.772602739726,140.4
2013.7753424657535,140.1
2013.7780821917809,142.9
2013.7808219178082,147.5
2013.7835616438356,151.4
2013.786301369863,158.1
2013.7890410958903,152.8
2013.7917808219179,157.6
2013.7945205479452,168.3
2013.7972602739726,183.1
2013.8,186.1
2013.8027397260273,192.8
2013.805479452055,203.0
2013.8082191780823,228.0
2013.8109589041096,207.0
2013.813698630137,197.9
2013.8164383561643,188.6
2013.8191780821917,206.9
2013.8219178082193,206.9
2013.8246575342466,216.0
2013.827397260274,208.0
2013.8301369863013,211.2
2013.8328767123287,213.4
2013.835616438356,211.7
2013.8383561643836,224.0
2013.841095890411,238.2
2013.8438356164384,251.3
2013.8465753424657,264.1
2013.849315068493,309.6
2013.8520547945207,355.0
2013.854794520548,367.8
2013.8575342465754,336.3
2013.8602739726027,363.0
2013.86301369863,380.0
2013.8657534246574,434.9
2013.868493150685,433.4
2013.8712328767124,433.9
2013.8739726027397,462.0
2013.876712328767,528.3
2013.8794520547945,785.4
2013.8821917808218,645.7
2013.8849315068494,638.0
2013.8876712328768,764.9
2013.890410958904,802.0
2013.8931506849315,832.5
2013.8958904109588,795.0
2013.8986301369864,830.0
2013.9013698630138,970.0
2013.9041095890411,1079.9
2013.9068493150685,1101.4
2013.9095890410958,1206.9
2013.9123287671232,1205.7
2013.9150684931508,1004.4
2013.9178082191781,1096.6
2013.9205479452055,1154.9
2013.9232876712329,1237.6
2013.9260273972602,1106.3
2013.9287671232876,845.0
2013.9315068493152,697.0
2013.9342465753425,804.0
2013.9369863013699,919.0
2013.9397260273972,1033.7
2013.9424657534246,919.9
2013.945205479452,900.0
2013.9479452054795,936.8
2013.9506849315069,908.9
2013.9534246575342,919.9
2013.9561643835616,759.9
2013.958904109589,715.0
2013.9616438356165,541.0
2013.964383561644,732.0
2013.9671232876713,650.0
2013.9698630136986,640.5
2013.972602739726,639.5
2013.9753424657533,713.2
2013.978082191781,702.8
2013.9808219178083,707.3
2013.9835616438356,802.0
2013.986301369863,803.0
2013.9890410958903,762.0
2013.9917808219177,785.0
2013.9945205479453,804.8
2013.9972602739726,805.9
2014.0,815.9
2014.0027397260274,856.9
2014.0054794520547,884.3
2014.0082191780823,924.7
2014.0109589041097,1014.7
2014.013698630137,1012.7
2014.0164383561644,879.9
2014.0191780821917,938.8
2014.021917808219,937.0
2014.0246575342467,957.8
2014.027397260274,1005.3
2014.0301369863014,939.8
2014.0328767123287,922.9
2014.035616438356,919.3
2014.0383561643835,941.2
2014.041095890411,913.5
2014.0438356164384,894.2
2014.0465753424658,905.7
2014.0493150684931,954.8
2014.0520547945205,956.0
2014.054794520548,962.2
2014.0575342465754,951.0
2014.0602739726028,944.2
2014.0630136986301,916.5
2014.0657534246575,961.0
2014.0684931506848,1007.0
2014.0712328767124,943.5
2014.0739726027398,932.7
2014.0767123287671,925.7
2014.0794520547945,941.4
2014.0821917808219,938.8
2014.0849315068492,940.4
2014.0876712328768,953.3
2014.0904109589042,931.7
2014.0931506849315,926.6
2014.0958904109589,904.5
2014.0986301369862,828.9
2014.1013698630136,695.7
2014.1041095890412,648.8
2014.1068493150685,659.6
2014.109589041096,582.6
2014.1123287671232,579.0
2014.1150684931506,531.1
2014.1178082191782,451.4
2014.1205479452055,427.7
2014.123287671233,371.1
2014.1260273972603,299.8
2014.1287671232876,272.3
2014.131506849315,294.0
2014.1342465753426,261.5
2014.13698630137,111.9
2014.1397260273973,111.6
2014.1424657534246,255.6
2014.145205479452,310.2
