numero,fecha,precio
1,2013.5535388127853,91.6
2,2013.5562785388129,95.6
3,2013.5590182648402,95.1
4,2013.5617579908676,96.9
5,2013.564497716895,96.0
6,2013.5672374429223,94.4
7,2013.5699771689497,98.8
8,2013.5727168949772,101.5
9,2013.5754566210046,108.0
10,2013.578196347032,106.2
11,2013.5809360730593,104.0
12,2013.5836757990867,104.5
13,2013.5864155251143,104.9
14,2013.5891552511416,105.1
15,2013.591894977169,106.7
16,2013.5946347031963,106.6
17,2013.5973744292237,106.0
18,2013.600114155251,103.1
19,2013.6028538812786,102.8
20,2013.605593607306,103.0
21,2013.6083333333333,105.0
22,2013.6110730593607,106.8
23,2013.613812785388,109.6
24,2013.6165525114154,112.6
25,2013.619292237443,110.0
26,2013.6220319634704,109.0
27,2013.6247716894977,112.8
28,2013.627511415525,113.4
29,2013.6302511415524,118.5
30,2013.63299086758,121.2
31,2013.6357305936074,123.3
32,2013.6384703196347,122.0
33,2013.641210045662,118.5
34,2013.6439497716894,119.6
35,2013.6466894977168,122.1
36,2013.6494292237444,120.1
37,2013.6521689497717,131.3
38,2013.654908675799,128.8
39,2013.6576484018265,129.3
40,2013.6603881278538,138.0
41,2013.6631278538812,141.0
42,2013.6658675799088,146.0
43,2013.6686073059361,144.0
44,2013.6713470319635,144.0
45,2013.6740867579908,132.5
46,2013.6768264840182,130.2
47,2013.6795662100456,121.9
48,2013.6823059360731,129.0
49,2013.6850456621005,126.3
50,2013.6876712328767,133.1
51,2013.690410958904,132.6
52,2013.6931506849314,142.1
53,2013.695890410959,139.4
54,2013.6986301369864,140.7
55,2013.7013698630137,136.7
56,2013.704109589041,138.3
57,2013.7068493150684,139.4
58,2013.7095890410958,139.1
59,2013.7123287671234,140.4
60,2013.7150684931507,135.1
61,2013.717808219178,133.8
62,2013.7205479452055,134.4
63,2013.7232876712328,134.0
64,2013.7260273972602,133.4
65,2013.7287671232878,134.8
66,2013.731506849315,135.0
67,2013.7342465753425,137.1
68,2013.7369863013698,138.9
69,2013.7397260273972,142.5
70,2013.7424657534248,143.9
71,2013.7452054794521,141.9
72,2013.7479452054795,140.3
73,2013.7506849315068,123.0
74,2013.7534246575342,131.0
75,2013.7561643835616,136.8
76,2013.7589041095891,136.7
77,2013.7616438356165,137.8
78,2013.7643835616439,135.8
79,2013.7671232876712,136.5
80,2013.7698630136986,139.5
81,2013.772602739726,140.4
82,2013.7753424657535,140.1
83,2013.7780821917809,142.9
84,2013.7808219178082,147.5
85,2013.7835616438356,151.4
86,2013.786301369863,158.1
87,2013.7890410958903,152.8
88,2013.7917808219179,157.6
89,2013.7945205479452,168.3
90,2013.7972602739726,183.1
91,2013.8,186.1
92,2013.8027397260273,192.8
93,2013.805479452055,203.0
94,2013.8082191780823,228.0
95,2013.8109589041096,207.0
96,2013.813698630137,197.9
97,2013.8164383561643,188.6
98,2013.8191780821917,206.9
99,2013.8219178082193,206.9
100,2013.8246575342466,216.0
101,2013.827397260274,208.0
102,2013.8301369863013,211.2
103,2013.8328767123287,213.4
104,2013.835616438356,211.7
105,2013.8383561643836,224.0
106,2013.841095890411,238.2
107,2013.8438356164384,251.3
108,2013.8465753424657,264.1
109,2013.849315068493,309.6
110,2013.8520547945207,355.0
111,2013.854794520548,367.8
112,2013.8575342465754,336.3
113,2013.8602739726027,363.0
114,2013.86301369863,380.0
115,2013.8657534246574,434.9
116,2013.868493150685,433.4
117,2013.8712328767124,433.9
118,2013.8739726027397,462.0
119,2013.876712328767,528.3
120,2013.8794520547945,785.4
121,2013.8821917808218,645.7
122,2013.8849315068494,638.0
123,2013.8876712328768,764.9
